Artikelnummer	Kurzbez.	Lagerware	Warengruppe	Warenuntergruppe	Langtext	Artikelhinweis	Abmessungen	Sockel	Lichtfarbe	Leistung	Lichtstrom	CRI	Anzahl LEDs	LED Typ	Abstrahlwinkel	Optik	Gehäuse	Farbe	Gewicht	Eingangsspannung	Powerfaktor	Schutzart	Betriebstemperatur	Luftfeuchtigkeit	Lifetime	Garantie	Zertifikate
11205	SMD1200-I-60/8HPTM		LED Tubes	LED Tubes 1200	SMD1200-I-60/8HPTM     LED Tube 1200 SMD 0,3W 6000K 18W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1200 Ø26	G13	6000K	18	1200	80	52	SMD 0,3W	120°	milky	Full PC	silber	390	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11300	SMD1200-I(SB)-27/9T		LED Tubes	LED Tubes 1200	SMD1200-I(SB)-27/9T     LED Tube 1200 SMD 0,06W 2700K 20W Ra90 Full PC clear (inkl. Starter-Ersatz)		L1200 Ø26	G13	2700K	20	1010	90	280	SMD 0,06W	120°	clear	Full PC	silber	390	150-240 V / 50-60 Hz	0,92	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11350	SMD1200-I53-30MM	*	LED Tubes	LED Tubes 1200	SMD1200-I53-30MM     LED Tube 1200 SMD 0,3W 3000K 19W Ra82 Full PC MM (inkl. Starter-Ersatz)		L1200 Ø26	G13	3000K	19	2200	82	114	SMD 0,3W	120°	MM	Full PC	weiss	395	150-240 V / 50-60 Hz	0,94	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11351	SMD1200-I53-40MM	*	LED Tubes	LED Tubes 1200	SMD1200-I53-40MM     LED Tube 1200 SMD 0,3W 4000K 19W Ra82 Full PC MM (inkl. Starter-Ersatz)		L1200 Ø26	G13	4000K	19	2500	82	114	SMD 0,3W	120°	MM	Full PC	weiss	395	150-240 V / 50-60 Hz	0,94	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11352	SMD1200-I53-60MM	*	LED Tubes	LED Tubes 1200	SMD1200-I53-60MM     LED Tube 1200 SMD 0,3W 6000K 19W Ra82 Full PC MM (inkl. Starter-Ersatz)		L1200 Ø26	G13	6000K	19	2500	82	114	SMD 0,3W	120°	MM	Full PC	weiss	395	150-240 V / 50-60 Hz	0,94	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11402	SMD1500-I-30/8HPT		LED Tubes	LED Tubes 1500	SMD1500-I-30/8HPT     LED Tube 1500 SMD 0,3W 3000K 23W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	3000K	23	2070	80	66	SMD 0,3W	120°	clear	Full PC	silber	465	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11403	SMD1500-I-30/8HPTM		LED Tubes	LED Tubes 1500	SMD1500-I-30/8HPTM     LED Tube 1500 SMD 0,3W 3000K 23W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1500 Ø26	G13	3000K	23	1800	80	66	SMD 0,3W	120°	milky	Full PC	silber	465	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11406	SMD1500-IB-30/8HPT		LED Tubes	LED Tubes 1500	SMD1500-IB-30/8HPT     LED Tube 1500 SMD 0,3W 3000K 29W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	3000K	29	2770	80	88	SMD 0,3W	120°	clear	Full PC	silber	485	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11407	SMD1500-IB-30/8HPTM		LED Tubes	LED Tubes 1500	SMD1500-IB-30/8HPTM     LED Tube 1500 SMD 0,3W 3000K 29W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1500 Ø26	G13	3000K	29	2430	80	88	SMD 0,3W	120°	milky	Full PC	silber	485	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11502	SMD1500-I-40/8HPT		LED Tubes	LED Tubes 1500	SMD1500-I-40/8HPT     LED Tube 1500 SMD 0,3W 4000K 23W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	4000K	23	2300	80	66	SMD 0,3W	120°	clear	Full PC	silber	465	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
